customer_id,segment,segment_name,recency,frequency,monetary_gross,churned
12346,3,Champions,133,15,77556.46,1
12347,2,Potential Loyalists,54,4,3146.7499999999995,0
12348,2,Potential Loyalists,56,4,1388.4,0
12349,2,Potential Loyalists,215,3,2221.14,0
12352,2,Potential Loyalists,70,7,985.31,0
12353,0,Loyal Customers,12,2,406.76,1
12355,0,Loyal Customers,22,2,947.61,1
12356,2,Potential Loyalists,53,5,5555.33,0
12358,2,Potential Loyalists,183,3,2519.01,0
12359,2,Potential Loyalists,48,11,4949.77,0
12360,0,Loyal Customers,8,4,2234.41,0
12361,1,At Risk,95,4,451.25,1
12362,0,Loyal Customers,33,3,884.34,0
12369,1,At Risk,221,3,1511.15,1
12370,2,Potential Loyalists,82,6,3221.03,0
12371,1,At Risk,217,3,1819.42,0
12372,0,Loyal Customers,20,2,842.9199999999998,0
12373,1,At Risk,119,3,927.65,1
12374,1,At Risk,229,2,2046.29,0
12376,1,At Risk,197,2,383.15,1
12377,2,Potential Loyalists,123,4,3266.32,1
12379,1,At Risk,230,2,692.9799999999999,0
12380,2,Potential Loyalists,189,5,4782.84,0
12383,0,Loyal Customers,46,5,1559.1099999999997,0
12386,1,At Risk,145,2,660.8000000000001,1
12388,2,Potential Loyalists,83,5,1886.7,0
12389,1,At Risk,210,3,1433.33,1
12391,2,Potential Loyalists,272,6,2312.53,0
12393,2,Potential Loyalists,53,6,1877.95,0
12395,0,Loyal Customers,19,11,3258.36,0
12399,0,Loyal Customers,21,5,1532.6,0
12402,2,Potential Loyalists,131,7,1136.9,1
12406,2,Potential Loyalists,196,4,2975.0599999999995,0
12408,2,Potential Loyalists,53,9,2049.81,0
12409,2,Potential Loyalists,228,6,12346.62,0
12410,1,At Risk,109,4,773.7099999999999,1
12412,2,Potential Loyalists,210,5,1262.05,0
12413,0,Loyal Customers,44,4,695.25,0
12414,0,Loyal Customers,25,5,532.4100000000001,1
12415,3,Champions,11,12,70002.73999999999,0
12417,3,Champions,33,21,4063.89,0
12418,2,Potential Loyalists,221,4,1352.62,0
12419,1,At Risk,193,2,391.01,1
12421,1,At Risk,127,4,365.01,0
12422,2,Potential Loyalists,132,10,3194.29,0
12423,0,Loyal Customers,8,7,1883.85,0
12424,2,Potential Loyalists,230,5,1579.0699999999997,0
12425,1,At Risk,238,2,964.21,0
12426,0,Loyal Customers,2,3,1201.21,1
12427,1,At Risk,159,2,499.0,0
12428,2,Potential Loyalists,50,7,5119.34,0
12429,2,Potential Loyalists,35,7,5110.990000000001,0
12431,3,Champions,0,21,7229.049999999999,0
12433,2,Potential Loyalists,174,5,10992.51,0
12434,1,At Risk,57,4,583.5400000000001,0
12435,2,Potential Loyalists,75,5,10075.03,0
12437,3,Champions,6,35,8594.08,0
12439,1,At Risk,490,3,1158.1800000000003,1
12440,1,At Risk,265,3,739.1999999999999,1
12445,1,At Risk,208,2,301.58,0
12450,1,At Risk,207,5,490.32,0
12451,0,Loyal Customers,26,6,8942.18,0
